GAMEID,team,SB,T,Win
ANA202309060,1,0,0,L
ANA202309070,0,1,0,L
ANA202309070,1,0,0,W
ANA202309080,0,0,0,W
ANA202309080,1,0,0,L
ANA202309090,0,0,0,L
ANA202309090,1,0,0,W
ANA202309100,0,0,0,L
ANA202309100,1,0,0,W
ANA202309150,0,0,0,W
ANA202309150,1,0,0,L
ANA202309160,0,1,0,W
ANA202309160,1,0,0,L
ANA202309170,0,0,0,W
ANA202309170,1,0,0,L
ANA202309250,0,0,0,W
ANA202309250,1,0,0,L
ANA202309260,0,0,0,L
ANA202309260,1,0,0,W
ANA202309270,0,0,0,W
ANA202309270,1,0,0,L
ANA202309290,0,0,0,L
ANA202309290,1,0,0,W
ANA202309300,0,0,0,W
ANA202309300,1,0,0,L
ANA202310010,0,0,0,L
ANA202310010,1,0,0,W
ARI202304060,0,0,0,W
ARI202304060,1,0,0,L
ARI202304070,0,0,0,L
ARI202304070,1,0,0,W
ARI202304080,0,0,0,L
ARI202304080,1,0,0,W
ARI202304090,0,0,0,L
ARI202304090,1,1,0,W
ARI202304100,0,0,0,L
ARI202304100,1,0,0,W
ARI202304110,0,0,0,W
ARI202304110,1,0,0,L
ARI202304120,0,0,0,L
ARI202304120,1,0,0,W
ARI202304200,0,0,0,W
ARI202304200,1,0,0,L
ARI202304210,0,0,0,L
ARI202304210,1,0,0,W
ARI202304220,0,0,0,W
ARI202304220,1,1,0,L
ARI202304230,0,0,0,W
ARI202304230,1,0,0,L
ARI202304240,0,0,0,L
ARI202304240,1,0,0,W
ARI202304250,0,0,0,W
ARI202304250,1,0,0,L
ARI202304260,0,0,0,L
ARI202304260,1,0,0,W
ARI202305050,0,0,0,L
ARI202305050,1,0,0,W
ARI202305060,0,0,0,L
ARI202305060,1,0,0,W
ARI202305070,0,0,0,W
ARI202305070,1,0,0,L
ARI202305080,0,0,0,L
ARI202305080,1,0,0,W
ARI202305090,0,1,0,W
ARI202305090,1,0,0,L
ARI202305100,0,0,0,W
ARI202305100,1,0,0,L
ARI202305110,0,0,0,W
ARI202305110,1,0,0,L
ARI202305120,0,0,0,L
ARI202305120,1,0,0,W
ARI202305130,0,0,0,L
ARI202305130,1,0,0,W
ARI202305140,0,0,0,L
ARI202305140,1,0,0,W
ARI202305260,0,0,0,W
ARI202305260,1,0,0,L
ARI202305270,0,0,0,W
ARI202305270,1,0,0,L
ARI202305280,0,0,0,L
ARI202305280,1,0,0,W
ARI202305290,0,0,0,L
ARI202305290,1,0,0,W
ARI202305300,0,0,0,L
ARI202305300,1,0,0,W
ARI202305310,0,0,0,L
ARI202305310,1,0,0,W
ARI202306010,0,0,0,L
ARI202306010,1,0,0,W
ARI202306020,0,0,0,L
ARI202306020,1,0,0,W
ARI202306030,0,0,0,W
ARI202306030,1,0,0,L
ARI202306040,0,0,0,W
ARI202306040,1,0,0,L
ARI202306120,0,0,0,L
ARI202306120,1,0,0,W
ARI202306130,0,1,0,W
ARI202306130,1,0,0,L
ARI202306140,0,0,0,W
ARI202306140,1,0,0,L
ARI202306150,0,0,0,W
ARI202306150,1,0,0,L
ARI202306160,0,0,0,L
ARI202306160,1,0,0,W
ARI202306170,0,0,0,L
ARI202306170,1,0,0,W
ARI202306180,0,0,1,W
ARI202306180,1,0,0,L
ARI202306270,0,0,0,L
ARI202306270,1,0,0,W
ARI202306280,0,0,0,W
ARI202306280,1,0,0,L
ARI202306290,0,0,0,W
ARI202306290,1,0,0,L
ARI202307040,0,0,0,W
ARI202307040,1,0,0,L
ARI202307050,0,0,0,W
ARI202307050,1,0,0,L
ARI202307060,0,0,1,W
ARI202307060,1,0,0,L
ARI202307070,0,0,0,L
ARI202307070,1,0,0,W
ARI202307080,0,0,0,L
ARI202307080,1,0,0,W
ARI202307090,0,0,0,W
ARI202307090,1,1,0,L
ARI202307240,0,0,0,W
ARI202307240,1,0,0,L
ARI202307250,0,0,0,L
ARI202307250,1,0,0,W
ARI202307260,0,0,0,W
ARI202307260,1,1,1,L
ARI202307280,0,1,0,W
ARI202307280,1,0,0,L
ARI202307290,0,0,0,L
ARI202307290,1,0,0,W
ARI202307300,0,0,0,W
ARI202307300,1,0,0,L
ARI202308080,0,0,0,W
ARI202308080,1,0,0,L
ARI202308090,0,0,0,W
ARI202308090,1,0,0,L
ARI202308110,0,0,0,W
ARI202308110,1,1,0,L
ARI202308120,0,0,0,L
ARI202308120,1,1,0,W
ARI202308130,0,1,0,L
ARI202308130,1,0,1,W
ARI202308210,0,0,0,L
ARI202308210,1,0,0,W
ARI202308220,0,0,0,L
ARI202308220,1,0,0,W
ARI202308240,0,0,0,L
ARI202308240,1,0,0,W
ARI202308250,0,0,0,L
ARI202308250,1,0,0,W
ARI202308260,0,1,0,W
ARI202308260,1,0,1,L
ARI202308270,0,0,0,L
ARI202308270,1,0,0,W
ARI202309010,0,0,0,L
ARI202309010,1,0,0,W
ARI202309020,0,0,0,W
ARI202309020,1,0,0,L
ARI202309030,0,1,0,W
ARI202309030,1,0,0,L
ARI202309040,0,0,0,L
ARI202309040,1,0,0,W
ARI202309050,0,0,0,W
ARI202309050,1,0,1,L
ARI202309060,0,0,1,L
ARI202309060,1,0,0,W
ARI202309150,0,0,0,L
ARI202309150,1,0,0,W
ARI202309160,0,0,0,L
ARI202309160,1,0,0,W
ARI202309170,0,0,0,L
ARI202309170,1,0,0,W
ARI202309190,0,0,1,L
ARI202309190,1,0,0,W
ARI202309200,0,0,0,L
ARI202309200,1,2,0,W
ARI202309290,0,0,0,W
ARI202309290,1,0,0,L
ARI202309300,0,0,0,W
ARI202309300,1,0,0,L
ARI202310010,0,0,0,W
ARI202310010,1,0,0,L
ATL202304060,0,0,0,L
ATL202304060,1,0,0,W
ATL202304070,0,1,0,W
ATL202304070,1,0,0,L
ATL202304080,0,0,0,W
ATL202304080,1,0,0,L
ATL202304090,0,0,0,W
ATL202304090,1,0,0,L
ATL202304100,0,0,0,L
ATL202304100,1,0,0,W
ATL202304110,0,1,0,L
ATL202304110,1,0,0,W
ATL202304120,0,0,0,L
ATL202304120,1,0,0,W
ATL202304210,0,0,0,W
ATL202304210,1,0,0,L
ATL202304220,0,0,0,W
ATL202304220,1,2,0,L
ATL202304230,0,0,0,W
ATL202304230,1,1,0,L
ATL202304240,0,0,0,L
ATL202304240,1,0,0,W
ATL202304250,0,0,0,L
ATL202304250,1,1,0,W
ATL202304260,0,0,0,L
ATL202304260,1,0,0,W
ATL202304270,0,1,0,W
ATL202304270,1,0,0,L
ATL202305050,0,0,0,W
ATL202305050,1,0,0,L
ATL202305060,0,0,0,L
ATL202305060,1,0,0,W
ATL202305070,0,0,0,L
ATL202305070,1,0,0,W
ATL202305090,0,0,0,L
ATL202305090,1,0,0,W
ATL202305100,0,0,0,W
ATL202305100,1,0,0,L
ATL202305190,0,0,0,L
ATL202305190,1,0,0,W
ATL202305200,0,0,0,W
ATL202305200,1,0,0,L
ATL202305210,0,0,0,L
ATL202305210,1,0,0,W
ATL202305220,0,0,0,W
ATL202305220,1,0,0,L
ATL202305230,0,0,0,W
ATL202305230,1,0,0,L
ATL202305240,0,0,0,L
ATL202305240,1,0,0,W
ATL202305250,0,0,0,L
ATL202305250,1,0,0,W
ATL202305260,0,0,0,W
ATL202305260,1,0,0,L
ATL202305270,0,0,0,W
ATL202305270,1,0,0,L
ATL202305280,0,0,0,L
ATL202305280,1,1,0,W
ATL202306060,0,0,0,L
ATL202306060,1,0,0,W
ATL202306070,0,0,0,L
ATL202306070,1,0,0,W
ATL202306080,0,0,0,L
ATL202306080,1,0,0,W
ATL202306090,0,1,0,L
ATL202306090,1,1,0,W
ATL202306100,0,0,1,L
ATL202306100,1,0,0,W
ATL202306110,0,0,0,W
ATL202306110,1,0,0,L
ATL202306150,0,0,0,L
ATL202306150,1,0,0,W
ATL202306160,0,0,0,L
ATL202306160,1,1,0,W
ATL202306170,0,0,0,L
ATL202306170,1,0,0,W
ATL202306180,0,0,0,L
ATL202306180,1,0,0,W
ATL202306260,0,0,0,L
ATL202306260,1,0,0,W
ATL202306270,0,0,0,L
ATL202306270,1,0,1,W
ATL202306280,0,0,0,L
ATL202306280,1,1,0,W
ATL202306300,0,0,0,L
ATL202306300,1,0,0,W
ATL202307010,0,0,0,L
ATL202307010,1,0,0,W
ATL202307020,0,0,0,L
ATL202307020,1,1,0,W
ATL202307140,0,0,0,L
ATL202307140,1,1,0,W
ATL202307150,0,0,0,W
ATL202307150,1,0,0,L
ATL202307160,0,0,0,W
ATL202307160,1,0,0,L
ATL202307180,0,0,1,W
ATL202307180,1,0,0,L
ATL202307190,0,0,0,W
ATL202307190,1,0,0,L
ATL202307200,0,0,0,L
ATL202307200,1,0,0,W
ATL202307280,0,0,0,L
ATL202307280,1,0,0,W
ATL202307290,0,0,0,L
ATL202307290,1,1,0,W
ATL202307300,0,0,0,L
ATL202307300,1,0,0,W
ATL202307310,0,0,0,W
ATL202307310,1,0,0,L
ATL202308010,0,0,0,L
ATL202308010,1,0,0,W
ATL202308020,0,0,0,L
ATL202308020,1,0,0,W
ATL202308140,0,0,0,L
ATL202308140,1,0,0,W
ATL202308150,0,0,0,L
ATL202308150,1,0,0,W
ATL202308160,0,0,0,L
ATL202308160,1,0,0,W
ATL202308180,0,0,0,L
ATL202308180,1,0,0,W
ATL202308190,0,0,0,L
ATL202308190,1,0,0,W
ATL202308200,0,0,0,W
ATL202308200,1,1,0,L
ATL202308210,0,0,0,W
ATL202308210,1,0,0,L
ATL202308220,0,0,0,L
ATL202308220,1,1,0,W
ATL202308230,0,0,0,L
ATL202308230,1,0,0,W
ATL202309050,0,0,0,W
ATL202309050,1,0,0,L
ATL202309060,0,1,0,W
ATL202309060,1,0,0,L
ATL202309070,0,0,0,L
ATL202309070,1,0,0,W
ATL202309080,0,0,0,L
ATL202309080,1,0,0,W
ATL202309090,0,0,0,W
ATL202309090,1,0,0,L
ATL202309100,0,0,0,L
ATL202309100,1,0,0,W
ATL202309180,0,0,0,W
ATL202309180,1,0,0,L
ATL202309190,0,0,0,L
ATL202309190,1,0,0,W
ATL202309200,0,0,0,W
ATL202309200,1,0,0,L
ATL202309260,0,0,0,L
ATL202309260,1,0,0,W
ATL202309270,0,0,0,L
ATL202309270,1,0,0,W
ATL202309280,0,1,0,L
ATL202309280,1,0,0,W
ATL202309290,0,0,0,W
ATL202309290,1,1,0,L
ATL202309300,0,1,0,L
ATL202309300,1,0,0,W
ATL202310010,0,1,0,W
ATL202310010,1,0,0,L
BAL202304070,0,0,0,L
BAL202304070,1,0,0,W
BAL202304080,0,0,0,W
BAL202304080,1,0,0,L
BAL202304090,0,0,0,W
BAL202304090,1,0,0,L
BAL202304100,0,0,1,L
BAL202304100,1,1,0,W
BAL202304110,0,0,0,L
BAL202304110,1,0,0,W
BAL202304120,0,0,0,W
BAL202304120,1,0,0,L
BAL202304130,0,0,0,L
BAL202304130,1,0,0,W
BAL202304210,0,0,0,L
BAL202304210,1,0,0,W
BAL202304220,0,1,0,L
BAL202304220,1,0,0,W
BAL202304230,0,0,0,L
BAL202304230,1,0,0,W
BAL202304240,0,0,0,L
BAL202304240,1,0,0,W
BAL202304250,0,0,0,W
BAL202304250,1,0,0,L
BAL202304260,0,0,0,L
BAL202304260,1,0,0,W
BAL202305080,0,0,0,W
BAL202305080,1,0,0,L
BAL202305090,0,0,0,L
BAL202305090,1,0,0,W
BAL202305100,0,1,0,L
BAL202305100,1,0,0,W
BAL202305120,0,1,0,L
BAL202305120,1,0,0,W
BAL202305130,0,0,0,L
BAL202305130,1,0,0,W
BAL202305140,0,0,0,W
BAL202305140,1,1,0,L
BAL202305150,0,0,0,W
BAL202305150,1,0,0,L
BAL202305160,0,0,0,L
BAL202305160,1,0,0,W
BAL202305170,0,0,0,L
BAL202305170,1,0,0,W
BAL202305180,0,0,0,W
BAL202305180,1,0,0,L
BAL202305260,0,0,0,W
BAL202305260,1,0,0,L
BAL202305270,0,0,0,W
BAL202305270,1,0,0,L
BAL202305280,0,0,0,L
BAL202305280,1,0,0,W
BAL202305290,0,0,0,W
BAL202305290,1,0,0,L
BAL202305300,0,0,0,L
BAL202305300,1,0,0,W
BAL202305310,0,0,0,W
BAL202305310,1,0,0,L
BAL202306090,0,0,0,L
BAL202306090,1,0,0,W
BAL202306100,0,0,0,L
BAL202306100,1,0,0,W
BAL202306110,0,0,0,L
BAL202306110,1,0,0,W
BAL202306130,0,0,0,L
BAL202306130,1,0,0,W
BAL202306140,0,0,0,W
BAL202306140,1,0,0,L
BAL202306150,0,0,0,L
BAL202306150,1,0,0,W
BAL202306230,0,0,0,W
BAL202306230,1,0,0,L
BAL202306240,0,0,0,L
BAL202306240,1,0,0,W
BAL202306250,0,0,0,L
BAL202306250,1,0,0,W
BAL202306260,0,0,0,L
BAL202306260,1,0,0,W
BAL202306270,0,0,0,W
BAL202306270,1,0,0,L
BAL202306280,0,1,0,W
BAL202306280,1,0,1,L
BAL202306300,0,0,0,W
BAL202306300,1,0,0,L
BAL202307010,0,0,0,W
BAL202307010,1,0,0,L
BAL202307020,0,0,0,L
BAL202307020,1,0,0,W
BAL202307140,0,0,0,L
BAL202307140,1,0,0,W
BAL202307150,0,0,0,L
BAL202307150,1,0,0,W
BAL202307160,0,0,0,L
BAL202307160,1,0,0,W
BAL202307170,0,0,0,W
BAL202307170,1,0,0,L
BAL202307180,0,0,0,W
BAL202307180,1,0,0,L
BAL202307190,0,0,0,L
BAL202307190,1,0,0,W
BAL202307280,0,0,0,L
BAL202307280,1,0,0,W
BAL202307290,0,0,0,W
BAL202307290,1,0,0,L
BAL202307300,0,0,0,L
BAL202307300,1,1,0,W
BAL202308040,0,0,0,L
BAL202308040,1,0,0,W
BAL202308050,0,0,0,L
BAL202308050,1,0,0,W
BAL202308060,0,0,0,L
BAL202308060,1,0,0,W
BAL202308080,0,0,0,W
BAL202308080,1,0,0,L
BAL202308090,0,0,0,W
BAL202308090,1,0,1,L
BAL202308100,0,0,0,L
BAL202308100,1,0,0,W
BAL202308220,0,0,0,W
BAL202308220,1,1,0,L
BAL202308230,0,0,0,L
BAL202308230,1,0,0,W
BAL202308240,0,0,0,L
BAL202308240,1,0,0,W
BAL202308250,0,0,0,L
BAL202308250,1,0,0,W
BAL202308260,0,0,0,L
BAL202308260,1,0,0,W
BAL202308270,0,0,0,W
BAL202308270,1,0,0,L
BAL202308280,0,0,0,L
BAL202308280,1,1,0,W
BAL202308290,0,0,0,L
BAL202308290,1,0,0,W
BAL202308300,0,0,0,W
BAL202308300,1,1,0,L
BAL202309110,0,0,0,L
BAL202309110,1,0,0,W
BAL202309120,0,0,0,W
BAL202309120,1,0,0,L
BAL202309130,0,0,0,W
BAL202309130,1,0,0,L
BAL202309140,0,0,0,W
BAL202309140,1,0,0,L
BAL202309150,0,0,0,W
BAL202309150,1,0,0,L
BAL202309160,0,0,0,L
BAL202309160,1,0,0,W
BAL202309170,0,0,0,L
BAL202309170,1,0,0,W
BAL202309260,0,0,0,L
BAL202309260,1,0,0,W
BAL202309270,0,0,0,L
BAL202309270,1,1,0,W
BAL202309280,0,0,0,L
BAL202309280,1,0,0,W
BAL202309290,0,0,0,W
BAL202309290,1,0,0,L
BAL202309300,0,0,0,L
BAL202309300,1,0,0,W
BAL202310010,0,0,0,W
BAL202310010,1,0,0,L
BOS202303300,0,0,0,W
BOS202303300,1,0,1,L
BOS202304010,0,0,0,L
BOS202304010,1,0,0,W
BOS202304020,0,0,0,L
BOS202304020,1,0,0,W
BOS202304030,0,0,0,W
BOS202304030,1,0,0,L
BOS202304040,0,1,0,W
BOS202304040,1,0,0,L
BOS202304050,0,0,0,W
BOS202304050,1,0,0,L
BOS202304140,0,0,0,L
BOS202304140,1,0,0,W
BOS202304150,0,0,0,L
BOS202304150,1,1,0,W
BOS202304160,0,0,0,L
BOS202304160,1,0,0,W
BOS202304170,0,0,0,W
BOS202304170,1,0,0,L
BOS202304180,0,0,0,L
BOS202304180,1,0,0,W
BOS202304190,0,0,0,W
BOS202304190,1,0,0,L
BOS202304200,0,0,0,L
BOS202304200,1,0,0,W
BOS202304280,0,0,0,W
BOS202304280,1,0,0,L
BOS202304290,0,0,0,L
BOS202304290,1,0,0,W
BOS202304300,0,0,0,L
BOS202304300,1,0,0,W
BOS202305010,0,1,0,L
BOS202305010,1,0,0,W
BOS202305020,0,0,0,L
BOS202305020,1,0,0,W
BOS202305030,0,0,0,L
BOS202305030,1,0,0,W
BOS202305040,0,0,0,L
BOS202305040,1,1,0,W
BOS202305120,0,0,0,W
BOS202305120,1,0,0,L
BOS202305130,0,0,0,W
BOS202305130,1,0,0,L
BOS202305140,0,0,0,W
BOS202305140,1,0,0,L
BOS202305150,0,0,0,W
BOS202305150,1,0,0,L
BOS202305160,0,0,0,L
BOS202305160,1,0,1,W
BOS202305170,0,0,0,L
BOS202305170,1,0,0,W
BOS202305300,0,0,0,W
BOS202305300,1,0,0,L
BOS202305310,0,0,0,W
BOS202305310,1,0,0,L
BOS202306010,0,0,0,L
BOS202306010,1,0,0,W
BOS202306031,0,1,0,L
BOS202306031,1,0,0,W
BOS202306032,0,0,0,W
BOS202306032,1,0,0,L
BOS202306040,0,0,0,W
BOS202306040,1,0,0,L
BOS202306050,0,0,0,W
BOS202306050,1,0,0,L
BOS202306120,0,0,0,W
BOS202306120,1,0,0,L
BOS202306130,0,0,0,W
BOS202306130,1,0,0,L
BOS202306140,0,0,0,L
BOS202306140,1,1,0,W
BOS202306160,0,0,0,L
BOS202306160,1,0,0,W
BOS202306181,0,0,0,L
BOS202306181,1,0,0,W
BOS202306182,0,0,0,L
BOS202306182,1,0,0,W
BOS202306270,0,0,0,W
BOS202306270,1,0,0,L
BOS202306280,0,0,0,W
BOS202306280,1,0,0,L
BOS202306290,0,0,0,W
BOS202306290,1,0,0,L
BOS202307040,0,0,0,W
BOS202307040,1,0,1,L
BOS202307050,0,0,0,L
BOS202307050,1,1,0,W
BOS202307060,0,0,0,L
BOS202307060,1,0,0,W
BOS202307070,0,0,0,L
BOS202307070,1,0,0,W
BOS202307080,0,0,0,L
BOS202307080,1,1,0,W
BOS202307090,0,0,0,L
BOS202307090,1,0,0,W
BOS202307210,0,0,0,W
BOS202307210,1,1,0,L
BOS202307220,0,0,0,L
BOS202307220,1,0,0,W
BOS202307230,0,0,0,L
BOS202307230,1,1,0,W
BOS202307250,0,0,0,L
BOS202307250,1,0,0,W
BOS202307260,0,0,0,L
BOS202307260,1,0,0,W
BOS202308040,0,0,0,W
BOS202308040,1,0,0,L
BOS202308050,0,0,0,W
BOS202308050,1,0,0,L
BOS202308060,0,0,0,W
BOS202308060,1,0,0,L
BOS202308070,0,0,0,L
BOS202308070,1,0,0,W
BOS202308080,0,1,0,W
BOS202308080,1,0,0,L
BOS202308090,0,0,0,L
BOS202308090,1,0,0,W
BOS202308100,0,0,0,L
BOS202308100,1,0,0,W
BOS202308110,0,0,0,L
BOS202308110,1,0,0,W
BOS202308120,0,0,0,W
BOS202308120,1,0,0,L
BOS202308130,0,0,0,L
BOS202308130,1,0,0,W
BOS202308250,0,0,0,W
BOS202308250,1,0,0,L
BOS202308260,0,0,0,L
BOS202308260,1,0,0,W
BOS202308270,0,0,0,W
BOS202308270,1,0,0,L
BOS202308280,0,0,0,W
BOS202308280,1,0,0,L
BOS202308290,0,0,0,W
BOS202308290,1,0,0,L
BOS202308300,0,0,0,W
BOS202308300,1,0,0,L
BOS202309080,0,0,0,W
BOS202309080,1,0,0,L
BOS202309090,0,0,0,W
BOS202309090,1,0,0,L
BOS202309100,0,0,0,L
BOS202309100,1,0,0,W
BOS202309121,0,0,0,W
BOS202309121,1,0,0,L
BOS202309122,0,0,0,W
BOS202309122,1,0,0,L
BOS202309141,0,0,0,L
BOS202309141,1,0,0,W
BOS202309142,0,0,0,W
BOS202309142,1,0,0,L
BOS202309220,0,0,0,L
BOS202309220,1,0,0,W
BOS202309230,0,0,0,W
BOS202309230,1,0,0,L
BOS202309240,0,1,0,W
BOS202309240,1,0,0,L
BOS202309260,0,0,0,W
BOS202309260,1,0,0,L
BOS202309270,0,0,0,W
BOS202309270,1,0,0,L
CHA202304030,0,0,0,W
CHA202304030,1,0,0,L
CHA202304050,0,0,0,L
CHA202304050,1,0,0,W
CHA202304060,0,0,0,W
CHA202304060,1,0,0,L
CHA202304140,0,0,0,W
CHA202304140,1,0,0,L
CHA202304150,0,0,0,L
CHA202304150,1,0,0,W
CHA202304160,0,0,0,W
CHA202304160,1,0,0,L
CHA202304181,0,1,0,W
CHA202304181,1,0,0,L
CHA202304182,0,0,0,L
CHA202304182,1,0,0,W
CHA202304190,0,0,0,W
CHA202304190,1,0,0,L
CHA202304270,0,0,0,W
CHA202304270,1,0,0,L
CHA202304280,0,0,0,W
CHA202304280,1,0,0,L
CHA202304290,0,0,0,W
CHA202304290,1,0,0,L
CHA202304300,0,0,0,L
CHA202304300,1,0,0,W
CHA202305020,0,0,0,L
CHA202305020,1,0,0,W
CHA202305030,0,0,0,L
CHA202305030,1,0,0,W
CHA202305040,0,0,0,W
CHA202305040,1,0,0,L
CHA202305120,0,0,0,W
CHA202305120,1,0,0,L
CHA202305130,0,0,0,L
CHA202305130,1,0,0,W
CHA202305140,0,0,0,W
CHA202305140,1,0,0,L
CHA202305160,0,0,0,L
CHA202305160,1,0,0,W
CHA202305170,0,0,0,L
CHA202305170,1,0,0,W
CHA202305180,0,0,0,W
CHA202305180,1,0,0,L
CHA202305190,0,0,0,L
CHA202305190,1,0,0,W
CHA202305200,0,0,0,L
CHA202305200,1,0,0,W
CHA202305210,0,0,0,L
CHA202305210,1,0,0,W
CHA202305290,0,0,0,W
CHA202305290,1,0,0,L
CHA202305300,0,0,0,L
CHA202305300,1,0,0,W
CHA202305310,0,0,0,W
CHA202305310,1,0,0,L
CHA202306020,0,0,0,L
CHA202306020,1,0,0,W
CHA202306030,0,0,0,L
CHA202306030,1,0,0,W
CHA202306040,0,0,0,L
CHA202306040,1,0,0,W
CHA202306090,0,0,0,L
CHA202306090,1,0,0,W
CHA202306100,0,0,0,W
CHA202306100,1,0,0,L
CHA202306110,0,0,0,W
CHA202306110,1,0,0,L
CHA202306190,0,0,0,W
CHA202306190,1,0,0,L
CHA202306200,0,0,0,L
CHA202306200,1,0,0,W
CHA202306210,0,0,0,W
CHA202306210,1,0,0,L
CHA202306230,0,0,0,W
CHA202306230,1,0,0,L
CHA202306240,0,0,0,L
CHA202306240,1,0,0,W
CHA202306250,0,0,0,L
CHA202306250,1,0,0,W
CHA202307040,0,0,0,W
CHA202307040,1,0,0,L
CHA202307061,0,0,0,W
CHA202307061,1,0,0,L
CHA202307062,0,0,0,W
CHA202307062,1,0,0,L
CHA202307070,0,0,0,L
CHA202307070,1,0,0,W
CHA202307080,0,0,0,W
CHA202307080,1,0,0,L
CHA202307090,0,0,0,W
CHA202307090,1,0,0,L
CHA202307250,0,1,0,W
CHA202307250,1,0,0,L
CHA202307260,0,0,0,W
CHA202307260,1,0,0,L
CHA202307270,0,0,1,W
CHA202307270,1,0,0,L
CHA202307280,0,0,0,L
CHA202307280,1,0,0,W
CHA202307290,0,0,0,L
CHA202307290,1,0,0,W
CHA202307300,0,0,0,W
CHA202307300,1,0,0,L
CHA202308070,0,0,0,L
CHA202308070,1,0,0,W
CHA202308080,0,0,0,W
CHA202308080,1,0,0,L
CHA202308090,0,0,0,L
CHA202308090,1,0,0,W
CHA202308110,0,1,0,W
CHA202308110,1,0,0,L
CHA202308120,0,0,0,W
CHA202308120,1,0,0,L
CHA202308130,0,0,0,W
CHA202308130,1,0,0,L
CHA202308210,0,1,0,W
CHA202308210,1,0,0,L
CHA202308220,0,0,0,W
CHA202308220,1,0,0,L
CHA202308230,0,1,0,L
